size,count,normal
3,2,wall of separation
3,2,of separation between
3,2,separation between church
3,2,between church &
3,2,church & state
3,2,in times of
3,2,more than a
3,2,for liberty group
3,2,in philadelphia last
3,2,philadelphia last week
3,2,the story that
3,2,of job growth
3,2,the first to
3,2,focused on the
3,2,on the idea
3,2,infrastructure projects and
3,2,us business leaders
3,2,the biden administration's
3,2,biden administration's focus
3,2,administration's focus on
3,2,trade with china
3,2,clear that the
3,2,of the world's
3,2,both at home
3,2,at home and
3,2,home and abroad
3,2,revenge on those
3,2,leader of the
3,2,of the us
3,2,illiberal democracy or
3,2,democracy or christian
3,2,or christian democracy
3,2,before the law
3,2,has focused on
3,2,with the argument
3,2,the argument that
3,2,the moms for
3,2,for liberty have
3,2,for the republican
3,2,majority of americans
3,2,thirds of the
3,2,to rebuild the
3,2,florida governor ron
3,2,governor ron desantis
3,2,at the heart
3,2,the heart of
3,2,of illiberal democracy
3,2,on day one
3,2,end birthright citizenship
3,2,based on a
3,2,a historical myth
3,2,of the law
3,2,to make clear
3,2,attack on birthright
3,2,on birthright citizenship
3,2,hungary's prime minister
3,2,viktor orban who
3,2,a nation by
3,2,of birthright citizenship
3,2,of our history
3,2,idea that there
3,2,in the 1850s
3,2,the 1850s to
3,2,of human enslavement
3,2,united states and
3,2,citizens of the
3,2,the rights and
3,2,equal to white
3,2,children of immigrants
3,2,wong kim ark
3,2,the us in
3,2,the question of
3,2,ever since as
3,2,means we all
3,2,"west virginia ,"
3,2,was assigned to
3,2,the bottom of
3,2,war on america
3,2,italy and germany
3,2,the steel pact
3,2,came to believe
3,2,the ideology of
3,2,ideology of the
3,2,men and women
3,2,and more than
3,2,democrat franklin delano
3,2,the rest of
3,2,to stand up
3,2,us people like
3,2,how government was
3,2,government was going
3,2,was going to
3,2,going to run
3,2,to run the
3,2,run the freedoms
3,2,the freedoms and
3,2,freedoms and what
3,2,and what people
3,2,what people could
3,2,people could and
3,2,could and couldn't
3,2,and couldn't 
3,2,couldn't  do
3,2,the role of
3,2,of the people
3,2,of the confederacy
3,2,the slave power
3,2,states in the
3,2,men just starting
3,2,just starting out
3,2,for those at
3,2,at the bottom
3,2,a strong government
3,2,used the government
3,2,right wing movement
3,2,minorities and lgbtq
3,2,and lgbtq people
3,2,support for ukraine
3,2,of the g7
3,2,the g7 also
3,2,an island nation
3,2,is currently chairing
3,2,currently chairing the
3,2,pacific that is
3,2,low and middle
3,2,and middle income
3,2,middle income countries
3,2,supposed to go
3,2,for a meeting
3,2,had to cancel
3,2,in the colorado
3,2,the colorado river
3,1,in 1918 at
3,1,1918 at the
3,1,at the end
3,1,end of four
3,1,of four years
3,1,four years of
3,1,years of world
3,1,world war i's
3,1,war i's devastation
3,1,i's devastation leaders
3,1,devastation leaders negotiated
3,1,leaders negotiated for
3,1,negotiated for the
3,1,for the guns
3,1,the guns in
3,1,guns in europe
3,1,in europe to
3,1,europe to fall
3,1,to fall silent
3,1,fall silent once
3,1,silent once and
3,1,for all on
3,1,all on the
3,1,on the eleventh
3,1,the eleventh hour
3,1,eleventh hour of
3,1,hour of the
3,1,the eleventh day
3,1,eleventh day of
3,1,day of the
3,1,the eleventh month
3,1,it was not
3,1,was not technically
3,1,not technically the
3,1,technically the end
3,1,end of the
3,1,the war which
3,1,war which came
3,1,which came with
3,1,came with the
3,1,with the treaty
3,1,the treaty of
3,1,treaty of versailles
3,1,leaders signed that
3,1,signed that treaty
3,1,that treaty on
3,1,treaty on june
3,1,on june 28
3,1,june 28 1919
3,1,28 1919 five
3,1,1919 five years
3,1,five years to
3,1,years to the
3,1,to the day
3,1,the day after
3,1,day after the
3,1,after the assassination
3,1,the assassination of
3,1,assassination of austrian
3,1,of austrian archduke
3,1,austrian archduke franz
3,1,archduke franz ferdinand
3,1,franz ferdinand set
3,1,ferdinand set off
3,1,set off the
3,1,off the conflict
3,1,but the armistice
3,1,the armistice declared
3,1,armistice declared on
3,1,declared on november
3,1,on november 11
3,1,november 11 held
3,1,11 held and
3,1,held and armistice
3,1,and armistice day
3,1,armistice day became
3,1,day became popularly
3,1,became popularly known
3,1,popularly known as
3,1,as the day
3,1,the day the
3,1,day the great
3,1,great war which
3,1,war which killed
3,1,which killed at
3,1,killed at least
3,1,at least 40
3,1,least 40 million
3,1,million people ended
3,1,in november 1919
3,1,november 1919 president
3,1,1919 president woodrow
3,1,president woodrow wilson
3,1,woodrow wilson commemorated
3,1,wilson commemorated armistice
3,1,commemorated armistice day
3,1,armistice day saying
3,1,day saying that
3,1,saying that americans
3,1,that americans would
3,1,americans would reflect
3,1,would reflect on
3,1,reflect on the
3,1,on the anniversary
3,1,of the armistice
3,1,the armistice with
3,1,armistice with solemn
3,1,with solemn pride
3,1,solemn pride in
3,1,pride in the
3,1,in the heroism
3,1,the heroism of
3,1,heroism of those
3,1,those who died
3,1,who died in
3,1,died in the
3,1,the country's service
3,1,country's service and
3,1,service and with
3,1,and with gratitude
3,1,with gratitude for
3,1,gratitude for the
3,1,for the victory
3,1,the victory both
3,1,victory both because
3,1,both because of
3,1,of the thing
3,1,the thing from
3,1,thing from which
3,1,which it has
3,1,it has freed
3,1,has freed us
3,1,freed us and
3,1,us and because
3,1,and because of
3,1,of the opportunity
3,1,the opportunity it
3,1,opportunity it has
3,1,it has given
3,1,has given america
3,1,given america to
3,1,america to show
3,1,to show her
3,1,show her sympathy
3,1,her sympathy with
3,1,sympathy with peace
3,1,with peace and
3,1,peace and justice
3,1,and justice in
3,1,justice in the
3,1,in the councils
3,1,the councils of
3,1,councils of the
3,1,of the nations
3,1,the nations but
3,1,nations but wilson
3,1,but wilson was
3,1,wilson was disappointed
3,1,was disappointed that
3,1,disappointed that the
3,1,that the soldiers
3,1,the soldiers sacrifices
3,1,soldiers sacrifices had
3,1,sacrifices had not
3,1,had not changed
3,1,not changed the
3,1,changed the nation's
3,1,the nation's approach
3,1,nation's approach to
3,1,approach to international
3,1,to international affairs
3,1,the senate under
3,1,senate under the
3,1,leadership of republican
3,1,of republican henry
3,1,republican henry cabot
3,1,henry cabot lodge
3,1,cabot lodge of
3,1,lodge of massachusetts
3,1,of massachusetts who
3,1,massachusetts who had
3,1,who had been
3,1,had been determined
3,1,been determined to
3,1,determined to weaken
3,1,to weaken wilson
3,1,weaken wilson as
3,1,wilson as soon
3,1,as soon as
3,1,soon as the
3,1,as the imperatives
3,1,the imperatives of
3,1,imperatives of the
3,1,the war had
3,1,war had fallen
3,1,had fallen away
3,1,fallen away refused
3,1,away refused to
3,1,refused to permit
3,1,permit the united
3,1,united states to
3,1,states to join
3,1,to join the
3,1,join the league
3,1,the league of
3,1,league of nations
3,1,of nations wilson's
3,1,nations wilson's brainchild
3,1,wilson's brainchild a
3,1,brainchild a forum
3,1,a forum for
3,1,forum for countries
3,1,countries to work
3,1,to work out
3,1,work out their
3,1,out their differences
3,1,their differences with
3,1,differences with diplomacy
3,1,with diplomacy rather
3,1,diplomacy rather than
3,1,rather than resorting
3,1,than resorting to
3,1,resorting to bloodshed
3,1,10 1923 just
3,1,1923 just four
3,1,just four years
3,1,four years after
3,1,years after he
3,1,after he had
3,1,he had established
3,1,had established armistice
3,1,established armistice day
3,1,armistice day former
3,1,day former president
3,1,former president wilson
3,1,president wilson spoke
3,1,wilson spoke to
3,1,spoke to the
3,1,to the american
3,1,american people over
3,1,people over the
3,1,over the new
3,1,the new medium
3,1,new medium of
3,1,medium of radio
3,1,of radio giving
3,1,radio giving the
3,1,giving the nation's
3,1,the nation's first
3,1,nation's first live
3,1,first live nationwide
3,1,live nationwide broadcast
3,1,anniversary of armistice
3,1,of armistice day
3,1,armistice day should
3,1,day should stir
3,1,should stir us
3,1,stir us to
3,1,us to a
3,1,to a great
3,1,a great exaltation
3,1,great exaltation of
3,1,exaltation of spirit
3,1,of spirit he
3,1,spirit he said
3,1,he said as
3,1,said as americans
3,1,as americans remembered
3,1,americans remembered that
3,1,remembered that it
3,1,it was their
3,1,was their example
3,1,their example that
3,1,example that had
3,1,that had by
3,1,had by those
3,1,by those early
3,1,those early days
3,1,early days of
3,1,days of that
3,1,of that never
3,1,that never to
3,1,never to be
3,1,to be forgotten
3,1,be forgotten november
3,1,forgotten november lifted
3,1,november lifted the
3,1,lifted the nations
3,1,the nations of
3,1,nations of the
3,1,the world to
3,1,world to the
3,1,to the lofty
3,1,the lofty levels
3,1,lofty levels of
3,1,levels of vision
3,1,of vision and
3,1,vision and achievement
3,1,and achievement upon
3,1,achievement upon which
3,1,upon which the
3,1,which the great
3,1,great war for
3,1,war for democracy
3,1,for democracy and
3,1,democracy and right
3,1,and right was
3,1,right was fought
3,1,was fought and
3,1,fought and won
3,1,and won but
3,1,won but he
3,1,but he lamented
3,1,he lamented the
3,1,lamented the shameful
3,1,the shameful fact
3,1,shameful fact that
3,1,fact that when
3,1,that when victory
3,1,when victory was
3,1,"victory was won,...chiefly"
3,1,"was won,...chiefly by"
3,1,"won,...chiefly by the"
3,1,by the indomitable
3,1,the indomitable spirit
3,1,indomitable spirit and
3,1,spirit and ungrudging
3,1,and ungrudging sacrifices
3,1,ungrudging sacrifices of
3,1,sacrifices of our
3,1,of our own
3,1,our own incomparable
3,1,own incomparable soldiers
3,1,incomparable soldiers we
3,1,soldiers we turned
3,1,we turned our
3,1,turned our backs
3,1,our backs upon
3,1,backs upon our
3,1,upon our associates
3,1,our associates and
3,1,associates and refused
3,1,and refused to
3,1,refused to bear
3,1,to bear any
3,1,bear any responsible
3,1,any responsible part
3,1,responsible part in
3,1,in the administration
3,1,the administration of
3,1,administration of peace
3,1,of peace or
3,1,peace or the
3,1,or the firm
3,1,the firm and
3,1,firm and permanent
3,1,and permanent establishment
3,1,permanent establishment of
3,1,establishment of the
3,1,of the results
3,1,the war won
3,1,war won at
3,1,won at so
3,1,at so terrible
3,1,so terrible a
3,1,terrible a cost
3,1,a cost of
3,1,cost of life
3,1,of life and
3,1,life and treasure
3,1,and treasure and
3,1,treasure and withdrew
3,1,and withdrew into
3,1,withdrew into a
3,1,into a sullen
3,1,a sullen and
3,1,sullen and selfish
3,1,and selfish isolation
3,1,selfish isolation which
3,1,isolation which is
3,1,which is deeply
3,1,is deeply ignoble
3,1,deeply ignoble because
3,1,ignoble because manifestly
3,1,because manifestly cowardly
3,1,manifestly cowardly and
3,1,cowardly and dishonorable
3,1,and dishonorable wilson
3,1,dishonorable wilson said
3,1,wilson said that
3,1,said that a
3,1,that a return
3,1,return to engagement
3,1,to engagement with
3,1,engagement with international
3,1,with international affairs
